Unnamed: 0,Public company,Type,Income,Year
926,1241,上半年收入,2.344亿美元,2008
927,852,上半年收入,83.2亿元,2008
928,881,上半年收入,266.1亿元,2008
929,1242,上半年收入,*裕元,2008
930,844,上半年收入,45.7亿港元,2008
931,1189,上半年收入,130.6亿港元,2008
932,1038,上半年收入,93.7亿港元,2008
933,1224,上半年收入,66.9亿元,2008
934,992,上半年收入,119.2亿港元,2008
935,1243,上半年收入,20.6亿港元,2008
936,1204,上半年收入,4.453亿港元,2008
937,1244,上半年收入,2.107亿港元,2008
938,988,上半年收入,77.9亿港元,2008
939,1190,上半年收入,185.3亿港元,2008
940,1225,上半年收入,8.7776亿港元,2007
941,1245,上半年收入,10.9亿美元,2007
942,951,上半年收入,138.6亿港元,2007
943,1226,上半年收入,20.6亿港元,2007
944,1246,上半年收入,7.341亿美元,2007
945,1161,上半年收入,77.4亿元,2007
946,1247,上半年收入,7.631亿美元,2007
947,1059,上半年收入,28.6亿港元,2007
948,1194,上半年收入,23.1亿元,2007
949,1153,上半年收入,21.8亿元,2007
950,1248,上半年收入,19.1亿港元,2007
951,913,上半年收入,63.3亿港元,2007
952,881,上半年收入,167.2亿元,2007
953,1249,上半年收入,17.3亿港元,2007
954,1086,上半年收入,13.7亿港元,2007
955,908,上半年收入,58.2亿港元,2007
956,907,上半年收入,57.6亿港元,2007
957,1250,上半年收入,4.1814亿港元,2007
958,1131,上半年收入,14亿港元,2007
959,859,上半年收入,100.2亿元,2007
960,1176,上半年收入,45.9亿美元,2007
961,1195,上半年收入,38亿美元,2007
962,1229,上半年收入,3.958亿港元,2007
963,1180,上半年收入,14.1亿美元,2007
964,1104,上半年收入,351.5亿港元,2007
965,868,上半年收入,73.7亿元,2007
966,898,上半年收入,5.5773亿美元,2007
967,1209,上半年收入,77亿港元,2007
968,1251,上半年收入,84.8亿元,2007
969,1230,上半年收入,39.2亿港元,2007
970,1252,上半年收入,96.5亿元,2007
971,1220,上半年收入,196亿元,2007
972,1168,上半年收入,941.2亿元,2007
973,1235,上半年收入,422.2亿元,2007
974,1140,上半年收入,116.1亿港元,2007
975,1118,上半年收入,177.4亿元,2007
976,900,上半年收入,42.5亿元,2007
977,1165,上半年收入,173亿元,2007
978,860,上半年收入,227.4亿元,2007
979,1253,上半年收入,47.3亿元,2007
980,1254,上半年收入,40.4亿元,2007
981,1238,上半年收入,90.2亿港元,2007
982,1114,上半年收入,886.2亿元,2007
983,906,上半年收入,111亿元,2007
984,1201,上半年收入,154.7亿元,2007
985,1255,上半年收入,46.9亿元,2007
986,1100,上半年收入,10.5亿元,2007
987,1256,上半年收入,60.3亿元,2007
988,1075,上半年收入,143.4亿港元,2007
989,1211,上半年收入,268.2亿元,2007
990,1152,上半年收入,268.2亿元,2007
991,1179,上半年收入,76.1亿元,2007
992,1257,上半年收入,23.1亿元,2007
993,1258,上半年收入,16.6亿元,2007
994,1154,上半年收入,5668.3亿元,2007
995,1259,上半年收入,6.952亿元,2007
996,1102,上半年收入,13亿元,2007
997,1260,上半年收入,40.2亿元,2007
998,1186,上半年收入,85.8亿元,2007
999,1261,上半年收入,211.6亿元,2007
1000,912,上半年收入,491.7亿元,2007
1001,855,上半年收入,927.3亿元,2007
1002,1163,上半年收入,415.2亿港元,2007
1003,1162,上半年收入,53.6亿港元,2007
1004,1094,上半年收入,1.473亿美元,2007
1005,1262,上半年收入,171.2亿元,2007
1006,1185,上半年收入,196.2亿港元,2007
1007,1237,上半年收入,415.1亿元,2007
1008,1109,上半年收入,119.3亿港元,2007
1009,1263,上半年收入,116亿元,2007
1010,1264,上半年收入,250万美元,2007
1011,1167,上半年收入,330.4亿元,2007
1012,1219,上半年收入,33.8亿元,2007
1013,1265,上半年收入,13.5亿港元,2007
1014,1218,上半年收入,96.4亿港元,2007
1015,865,上半年收入,366.1亿元,2007
1016,866,上半年收入,252.1亿元,2007
1017,1198,上半年收入,510.7亿元,2007
1018,875,上半年收入,15亿美元,2007
1019,985,上半年收入,66.3亿港元,2007
1020,1266,上半年收入,67亿元,2007
1021,882,上半年收入,383.3亿元,2007
1022,1063,上半年收入,67亿元,2007
1023,1267,上半年收入,24.1亿元,2007
1024,1240,上半年收入,83.6亿元,2007
1025,1183,上半年收入,234亿元,2007
1026,1268,上半年收入,39.6亿元,2007
1027,1067,上半年收入,258.5亿元,2007
1028,1200,上半年收入,210.3亿元,2007
1029,893,上半年收入,47.6亿港元,2007
1030,964,上半年收入,27.5亿港元,2007
1031,971,上半年收入,24.2亿元,2007
1032,923,上半年收入,246.7亿港元,2007
1033,919,上半年收入,666亿元,2007
1034,1269,上半年收入,66.7亿元,2007
1035,1270,上半年收入,89.8亿元,2007
1036,1271,上半年收入,1.197亿港元,2007
1037,944,上半年收入,377.7亿港元,2007
1038,917,上半年收入,86.1亿港元,2007
1039,309,上半年收入,106.4亿元,2007
1040,1202,上半年收入,58.1亿元,2007
1041,1172,上半年收入,231.4亿元,2007
1042,1272,上半年收入,11.8亿港元,2007
1043,918,上半年收入,103.4亿港元,2007
1044,1203,上半年收入,58.4亿港元,2007
1045,997,上半年收入,173.8亿元,2007
1046,1212,上半年收入,260.4亿元,2007
1047,1273,上半年收入,3.3443亿港元,2007
1048,1017,上半年收入,14.1亿港元,2007
1049,921,上半年收入,346.3亿港元,2007
1050,1274,上半年收入,184.3亿元,2007
1051,1275,上半年收入,22.3亿港元,2007
1052,1276,上半年收入,48.5亿港元,2007
1053,1018,上半年收入,95.1亿港元,2007
1054,1144,上半年收入,4.554亿美元,2007
1055,1232,上半年收入,34亿元,2007
1056,1277,上半年收入,*香港裕元,2007
1057,1243,上半年收入,21亿美元,2007
1058,1204,上半年收入,5.751亿港元,2007
1059,1278,上半年收入,21.5亿港元,2007
1060,1279,上半年收入,19.6亿港元,2007
1061,1280,上半年收入,10.5亿美元,2006
1062,1281,上半年收入,18.7亿港元,2006
1063,1282,上半年收入,7.138亿美元,2006
1064,1283,上半年收入,4.53亿港元,2006
1065,1284,上半年收入,12.4亿港元,2006
1066,1285,上半年收入,28亿港元,2006
1067,1248,上半年收入,18.4亿港元,2006
1068,1247,上半年收入,7.126亿美元,2006
1069,1194,上半年收入,14.5亿元,2006
1070,1286,上半年收入,184.7亿元,2006
1071,1059,上半年收入,18.6亿港元,2006
1072,1287,上半年收入,10亿港元,2006
1073,908,上半年收入,37.7亿港元,2006
1074,1140,上半年收入,18.1亿美元,2006
1075,1228,上半年收入,17.1亿港元,2006
1076,1068,上半年收入,63.6亿港元,2006
1077,1213,上半年收入,4.87亿港元,2006
1078,1288,上半年收入,12.2亿港元,2006
